"","V1","V2"
"I6N0D5","Protein Tat (Transactivating regulatory protein)","5"
"C5HAI6","Protein Tat (Transactivating regulatory protein)","5"
"G1FMH7","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1H8J1","Protein Tat (Transactivating regulatory protein)","5"
"H6D0N0","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DH17","Protein Tat (Transactivating regulatory protein)","5"
"C7A6J7","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1HBK1","Protein Tat (Transactivating regulatory protein)","5"
"A0A075DKL5","Protein Tat (Transactivating regulatory protein)","5"
"D6NWR1","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QEW5","Protein Tat (Transactivating regulatory protein)","5"
"Q6Y8U5","Protein Tat (Transactivating regulatory protein)","5"
"Q994B9","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1RFH6","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S7MI12","Protein Tat (Transactivating regulatory protein)","5"
"Q1KWV1","Protein Tat (Transactivating regulatory protein)","5"
"A0A0E3ECU1","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T7WVI7","Protein Tat (Transactivating regulatory protein)","5"
"A0A1V0CPR8","Protein Tat (Transactivating regulatory protein)","5"
"Q6V3U3","Protein Tat (Transactivating regulatory protein)","5"
"M1L204","Protein Tat (Transactivating regulatory protein)","5"
"Q74747","Protein Tat (Transactivating regulatory protein)","5"
"Q8ADD8","Protein Tat (Transactivating regulatory protein)","5"
"A0A410SV83","Protein Tat (Transactivating regulatory protein)","5"
"T1PSM1","Protein Tat (Transactivating regulatory protein)","5"
"Q462N6","Protein Tat (Transactivating regulatory protein)","5"
"A0A4D6TD53","Protein Tat (Transactivating regulatory protein)","5"
"A0A0E3E5J5","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L7DWQ1","Protein Tat (Transactivating regulatory protein)","5"
"D3XND3","Protein Tat (Transactivating regulatory protein)","5"
"Q2L7T5","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F9F4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G6XKW8","Protein Tat (Transactivating regulatory protein)","5"
"A9U9F0","Protein Tat (Transactivating regulatory protein)","5"
"A0A1D9J135","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5N6L2","Protein Tat (Transactivating regulatory protein)","5"
"H6CV89","Protein Tat (Transactivating regulatory protein)","5"
"A0A1W6IFE8","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1EFE0","Protein Tat (Transactivating regulatory protein)","5"
"A0A0M4AUG8","Protein Tat (Transactivating regulatory protein)","5"
"Q6UF41","Protein Tat (Transactivating regulatory protein)","5"
"H6D3G6","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K2DPQ1","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1EA65","Protein Tat (Transactivating regulatory protein)","5"
"Q2VAE6","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D4VHL7","Protein Tat (Transactivating regulatory protein)","5"
"A0A7S5QWY8","Protein Tat (Transactivating regulatory protein)","5"
"Q90D00","Protein Tat (Transactivating regulatory protein)","5"
"D6NWB8","Protein Tat (Transactivating regulatory protein)","5"
"A0A0U4ZL76","Protein Tat (Transactivating regulatory protein)","5"
"Q2L834","Protein Tat (Transactivating regulatory protein)","5"
"J9R968","Protein Tat (Transactivating regulatory protein)","5"
"A0A221J1R0","Protein Tat (Transactivating regulatory protein)","5"
"A0A4D6TBB4","Protein Tat (Transactivating regulatory protein)","5"
"G9IQ73","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V9Q2","Protein Tat (Transactivating regulatory protein)","5"
"K4MUW1","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PBV2","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PW83","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KVH1","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KVN9","Protein Tat (Transactivating regulatory protein)","5"
"A0A7G5WPQ8","Protein Tat (Transactivating regulatory protein)","5"
"Q30BW0","Protein Tat (Transactivating regulatory protein)","5"
"A0A2R4HJU7","Protein Tat (Transactivating regulatory protein)","5"
"A0A286LFS3","Protein Tat (Transactivating regulatory protein)","5"
"H6CWW9","Protein Tat (Transactivating regulatory protein)","5"
"A0A159C9V0","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KY74","Protein Tat (Transactivating regulatory protein)","5"
"A8VHF4","Protein Tat (Transactivating regulatory protein)","5"
"Q5C9X7","Protein Tat (Transactivating regulatory protein)","5"
"F5CGH3","Protein Tat (Transactivating regulatory protein)","5"
"A0A1B1P5H7","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KY38","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QUY6","Protein Tat (Transactivating regulatory protein)","5"
"I6N043","Protein Tat (Transactivating regulatory protein)","5"
"C5HAQ4","Protein Tat (Transactivating regulatory protein)","5"
"A0A1U8YIK0","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KY13","Protein Tat (Transactivating regulatory protein)","5"
"F2YXW5","Protein Tat (Transactivating regulatory protein)","5"
"A0A7G5WP12","Protein Tat (Transactivating regulatory protein)","5"
"U6BJU4","Protein Tat (Transactivating regulatory protein)","5"
"A0A5J6SEC6","Protein Tat (Transactivating regulatory protein)","5"
"C7A6I8","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QQZ4","Protein Tat (Transactivating regulatory protein)","5"
"H6D386","Protein Tat (Transactivating regulatory protein)","5"
"D6NX76","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D4VJJ2","Protein Tat (Transactivating regulatory protein)","5"
"A0A410SX19","Protein Tat (Transactivating regulatory protein)","5"
"D6NX39","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M3U4X0","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K2DPT7","Protein Tat (Transactivating regulatory protein)","5"
"Q1W258","Protein Tat (Transactivating regulatory protein)","5"
"D6NWZ7","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D4ZRA3","Protein Tat (Transactivating regulatory protein)","5"
"A0A1I9J5C5","Protein Tat (Transactivating regulatory protein)","5"
"E0YHN7","Protein Tat (Transactivating regulatory protein)","5"
"A0A0M4AM07","Protein Tat (Transactivating regulatory protein)","5"
"A4U7H4","Protein Tat (Transactivating regulatory protein)","5"
"A0A4D6T9Y2","Protein Tat (Transactivating regulatory protein)","5"
"D4PE12","Protein Tat (Transactivating regulatory protein)","5"
"A0A0M5I1Q0","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YWU4","Protein Tat (Transactivating regulatory protein)","5"
"A0A6B7E404","Protein Tat (Transactivating regulatory protein)","5"
"A0A411KES1","Protein Tat (Transactivating regulatory protein)","5"
"C5HAY6","Protein Tat (Transactivating regulatory protein)","5"
"R9WYN2","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D4ZRB7","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S5GPD5","Protein Tat (Transactivating regulatory protein)","5"
"D6NWW9","Protein Tat (Transactivating regulatory protein)","5"
"Q9YP25","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QNT5","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NJI5","Protein Tat (Transactivating regulatory protein)","5"
"D6NWP3","Protein Tat (Transactivating regulatory protein)","5"
"A0A0R6L466","Protein Tat (Transactivating regulatory protein)","5"
"H6D1S0","Protein Tat (Transactivating regulatory protein)","5"
"H6D3T2","Protein Tat (Transactivating regulatory protein)","5"
"Q902K8","Protein Tat (Transactivating regulatory protein)","5"
"Q9YP33","Protein Tat (Transactivating regulatory protein)","5"
"Q8ADQ8","Protein Tat (Transactivating regulatory protein)","5"
"A0A410JEQ6","Protein Tat (Transactivating regulatory protein)","5"
"D0EK25","Protein Tat (Transactivating regulatory protein)","5"
"A0A0U4LD60","Protein Tat (Transactivating regulatory protein)","5"
"I6QTB3","Protein Tat (Transactivating regulatory protein)","5"
"A0A6J3W8P6","Protein Tat (Transactivating regulatory protein)","5"
"Q2NMP6","Protein Tat (Transactivating regulatory protein)","5"
"K4N8D6","Protein Tat (Transactivating regulatory protein)","5"
"J3R8N9","Protein Tat (Transactivating regulatory protein)","5"
"A0A517EPR5","Protein Tat (Transactivating regulatory protein)","5"
"D6NX59","Protein Tat (Transactivating regulatory protein)","5"
"Q6H1P4","Protein Tat (Transactivating regulatory protein)","5"
"U6BGI1","Protein Tat (Transactivating regulatory protein)","5"
"A1XD92","Protein Tat (Transactivating regulatory protein)","5"
"A0A0M4AML4","Protein Tat (Transactivating regulatory protein)","5"
"A0A0M4AG30","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0JWS7","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KWH7","Protein Tat (Transactivating regulatory protein)","5"
"M4P1D0","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5N2G1","Protein Tat (Transactivating regulatory protein)","5"
"C7B0R2","Protein Tat (Transactivating regulatory protein)","5"
"V9QK12","Protein Tat (Transactivating regulatory protein)","5"
"V9QJE6","Protein Tat (Transactivating regulatory protein)","5"
"M4NW61","Protein Tat (Transactivating regulatory protein)","5"
"A0A1D8QKW3","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8P054","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L7E5A2","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6UEX5","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QL03","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L7E533","Protein Tat (Transactivating regulatory protein)","5"
"A0A4D6TFU8","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V3Z5","Protein Tat (Transactivating regulatory protein)","5"
"A1E119","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DGS5","Protein Tat (Transactivating regulatory protein)","5"
"K4MYC5","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D4ZJ73","Protein Tat (Transactivating regulatory protein)","5"
"Q1M007","Protein Tat (Transactivating regulatory protein)","5"
"A0A1B1P657","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6SJT1","Protein Tat (Transactivating regulatory protein)","5"
"D6NWJ2","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QUT3","Protein Tat (Transactivating regulatory protein)","5"
"B4YNJ3","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T3PJU8","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1EFJ9","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S5GPW0","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1E8V0","Protein Tat (Transactivating regulatory protein)","5"
"F2YXV7","Protein Tat (Transactivating regulatory protein)","5"
"Q00EU2","Protein Tat (Transactivating regulatory protein)","5"
"A0A410JBW3","Protein Tat (Transactivating regulatory protein)","5"
"A0A286LFN1","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T7WW06","Protein Tat (Transactivating regulatory protein)","5"
"H6CZQ4","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T3UX47","Protein Tat (Transactivating regulatory protein)","5"
"U6BJH2","Protein Tat (Transactivating regulatory protein)","5"
"A0A650FWC6","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L4AN81","Protein Tat (Transactivating regulatory protein)","5"
"Q9YKL9","Protein Tat (Transactivating regulatory protein)","5"
"D6NX71","Protein Tat (Transactivating regulatory protein)","5"
"A0A165W7B0","Protein Tat (Transactivating regulatory protein)","5"
"Q1M0L8","Protein Tat (Transactivating regulatory protein)","5"
"Q3S424","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QJU1","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QWG4","Protein Tat (Transactivating regulatory protein)","5"
"A1XFK6","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V7Y4","Protein Tat (Transactivating regulatory protein)","5"
"A0A1W6HWG8","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C1AHV4","Protein Tat (Transactivating regulatory protein)","5"
"M1K6W7","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5N8E4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5P2J5","Protein Tat (Transactivating regulatory protein)","5"
"H6D1P4","Protein Tat (Transactivating regulatory protein)","5"
"Q99BV4","Protein Tat (Transactivating regulatory protein)","5"
"A2CL09","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T3PJY2","Protein Tat (Transactivating regulatory protein)","5"
"A0A4Y5LBB4","Protein Tat (Transactivating regulatory protein)","5"
"C9E8Y7","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G2C4F4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PXQ9","Protein Tat (Transactivating regulatory protein)","5"
"A0A516FM32","Protein Tat (Transactivating regulatory protein)","5"
"B5AEQ4","Protein Tat (Transactivating regulatory protein)","5"
"A0A221J0I3","Protein Tat (Transactivating regulatory protein)","5"
"A0A159CAC6","Protein Tat (Transactivating regulatory protein)","5"
"A0A221IYH8","Protein Tat (Transactivating regulatory protein)","5"
"Q8JBV3","Protein Tat (Transactivating regulatory protein)","5"
"A0A649UP20","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G2Y4E2","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6UET0","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KWK9","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5LC80","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YYA5","Protein Tat (Transactivating regulatory protein)","5"
"V9QJH5","Protein Tat (Transactivating regulatory protein)","5"
"D6NWI0","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DGQ5","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1RFA8","Protein Tat (Transactivating regulatory protein)","5"
"A9U9P6","Protein Tat (Transactivating regulatory protein)","5"
"D6NX79","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1E843","Protein Tat (Transactivating regulatory protein)","5"
"A0A1W6IQI0","Protein Tat (Transactivating regulatory protein)","5"
"A0A4D6TF17","Protein Tat (Transactivating regulatory protein)","5"
"Q8UT85","Protein Tat (Transactivating regulatory protein)","5"
"A4ZI77","Protein Tat (Transactivating regulatory protein)","5"
"D6NX95","Protein Tat (Transactivating regulatory protein)","5"
"U5YSS7","Protein Tat (Transactivating regulatory protein)","5"
"M4NY00","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T7WVI6","Protein Tat (Transactivating regulatory protein)","5"
"Q90CW5","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5LCS0","Protein Tat (Transactivating regulatory protein)","5"
"A9U9F8","Protein Tat (Transactivating regulatory protein)","5"
"C5IGU8","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QJ26","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QLH0","Protein Tat (Transactivating regulatory protein)","5"
"Q5FXZ6","Protein Tat (Transactivating regulatory protein)","5"
"A1DQX9","Protein Tat (Transactivating regulatory protein)","5"
"A0A411KF44","Protein Tat (Transactivating regulatory protein)","5"
"A0A0C5K9F1","Protein Tat (Transactivating regulatory protein)","5"
"Q08JY5","Protein Tat (Transactivating regulatory protein)","5"
"A1XD90","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NTJ6","Protein Tat (Transactivating regulatory protein)","5"
"U6BH14","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QZJ9","Protein Tat (Transactivating regulatory protein)","5"
"Q4JGA8","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QJ46","Protein Tat (Transactivating regulatory protein)","5"
"V9QHV0","Protein Tat (Transactivating regulatory protein)","5"
"A0A0E3E8T4","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QUY8","Protein Tat (Transactivating regulatory protein)","5"
"F5CFQ5","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V5J5","Protein Tat (Transactivating regulatory protein)","5"
"J7M359","Protein Tat (Transactivating regulatory protein)","5"
"Q2L7M3","Protein Tat (Transactivating regulatory protein)","5"
"C7A6X3","Protein Tat (Transactivating regulatory protein)","5"
"F5CGL5","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QT24","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NEJ4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PZD8","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T7WVY2","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6U2G7","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KY67","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D6EIH8","Protein Tat (Transactivating regulatory protein)","5"
"Q6X6N7","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D6IFJ7","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DH47","Protein Tat (Transactivating regulatory protein)","5"
"D6NW79","Protein Tat (Transactivating regulatory protein)","5"
"A0A076FNR3","Protein Tat (Transactivating regulatory protein)","5"
"D6NWH3","Protein Tat (Transactivating regulatory protein)","5"
"D6NWK9","Protein Tat (Transactivating regulatory protein)","5"
"A0A0H4LV81","Protein Tat (Transactivating regulatory protein)","5"
"A0A2Z5WIT2","Protein Tat (Transactivating regulatory protein)","5"
"H6CV46","Protein Tat (Transactivating regulatory protein)","5"
"Q3S5Z7","Protein Tat (Transactivating regulatory protein)","5"
"C5HBH7","Protein Tat (Transactivating regulatory protein)","5"
"A0A410SZW1","Protein Tat (Transactivating regulatory protein)","5"
"A0A161CVH7","Protein Tat (Transactivating regulatory protein)","5"
"Q6UEU5","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F2A5","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KVV5","Protein Tat (Transactivating regulatory protein)","5"
"A0A0H4LVT4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3Q8H6G2","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D6ETB9","Protein Tat (Transactivating regulatory protein)","5"
"A0A650F7Q4","Protein Tat (Transactivating regulatory protein)","5"
"A0A0M5IBD5","Protein Tat (Transactivating regulatory protein)","5"
"A0A650F8N3","Protein Tat (Transactivating regulatory protein)","5"
"Q8ADU0","Protein Tat (Transactivating regulatory protein)","5"
"Q7SV32","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1EA22","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DHW5","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DH31","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L4ANF3","Protein Tat (Transactivating regulatory protein)","5"
"A8VH95","Protein Tat (Transactivating regulatory protein)","5"
"H6CZE7","Protein Tat (Transactivating regulatory protein)","5"
"Q90CI4","Protein Tat (Transactivating regulatory protein)","5"
"A0A1I9J575","Protein Tat (Transactivating regulatory protein)","5"
"D5KGJ2","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C1A685","Protein Tat (Transactivating regulatory protein)","5"
"A0A482JMT3","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1H5K9","Protein Tat (Transactivating regulatory protein)","5"
"Q2L854","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D0N0P3","Protein Tat (Transactivating regulatory protein)","5"
"Q6EJT5","Protein Tat (Transactivating regulatory protein)","5"
"A0A159C8F4","Protein Tat (Transactivating regulatory protein)","5"
"D6NWH8","Protein Tat (Transactivating regulatory protein)","5"
"D3GFT7","Protein Tat (Transactivating regulatory protein)","5"
"Q3S5J7","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5KPE0","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5KVN9","Protein Tat (Transactivating regulatory protein)","5"
"D6NWC4","Protein Tat (Transactivating regulatory protein)","5"
"M4NLA6","Protein Tat (Transactivating regulatory protein)","5"
"D6NX05","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4FBL5","Protein Tat (Transactivating regulatory protein)","5"
"C4N7E3","Protein Tat (Transactivating regulatory protein)","5"
"H6CUC5","Protein Tat (Transactivating regulatory protein)","5"
"W8CZK2","Protein Tat (Transactivating regulatory protein)","5"
"A0A5J6SAH2","Protein Tat (Transactivating regulatory protein)","5"
"A0A286LGZ5","Protein Tat (Transactivating regulatory protein)","5"
"Q1KVZ8","Protein Tat (Transactivating regulatory protein)","5"
"I7FK45","Protein Tat (Transactivating regulatory protein)","5"
"Q5EEE9","Protein Tat (Transactivating regulatory protein)","5"
"B6D249","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6UE17","Protein Tat (Transactivating regulatory protein)","5"
"I6N0H0","Protein Tat (Transactivating regulatory protein)","5"
"V9QJP8","Protein Tat (Transactivating regulatory protein)","5"
"I3RTY4","Protein Tat (Transactivating regulatory protein)","5"
"Q8JC38","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PUU5","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V4Y2","Protein Tat (Transactivating regulatory protein)","5"
"A0A059SQG0","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6UBN9","Protein Tat (Transactivating regulatory protein)","5"
"A0A499T1T9","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PN25","Protein Tat (Transactivating regulatory protein)","5"
"Q5U9C2","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1J4I3","Protein Tat (Transactivating regulatory protein)","5"
"F5CG28","Protein Tat (Transactivating regulatory protein)","5"
"A0A1U8YIM3","Protein Tat (Transactivating regulatory protein)","5"
"A0A1U8YJ65","Protein Tat (Transactivating regulatory protein)","5"
"D2X6E4","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4FA00","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K2DMY9","Protein Tat (Transactivating regulatory protein)","5"
"Q6EJZ9","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5KE22","Protein Tat (Transactivating regulatory protein)","5"
"Q5PYP0","Protein Tat (Transactivating regulatory protein)","5"
"Q8AD98","Protein Tat (Transactivating regulatory protein)","5"
"A0A286LGV7","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S7RKY9","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1J4M0","Protein Tat (Transactivating regulatory protein)","5"
"Q6X6M0","Protein Tat (Transactivating regulatory protein)","5"
"Q8ACB0","Protein Tat (Transactivating regulatory protein)","5"
"D6NX51","Protein Tat (Transactivating regulatory protein)","5"
"A0A0H4LFZ2","Protein Tat (Transactivating regulatory protein)","5"
"F8RU24","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1HC37","Protein Tat (Transactivating regulatory protein)","5"
"M4PEF9","Protein Tat (Transactivating regulatory protein)","5"
"A0A1W6IIY4","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QN95","Protein Tat (Transactivating regulatory protein)","5"
"V9QHT5","Protein Tat (Transactivating regulatory protein)","5"
"A0A140ED59","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5ND08","Protein Tat (Transactivating regulatory protein)","5"
"A0A0U3VB28","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S7RKV3","Protein Tat (Transactivating regulatory protein)","5"
"A0A140ECZ8","Protein Tat (Transactivating regulatory protein)","5"
"B8XYA1","Protein Tat (Transactivating regulatory protein)","5"
"A0A1X9QFZ9","Protein Tat (Transactivating regulatory protein)","5"
"M4N1B5","Protein Tat (Transactivating regulatory protein)","5"
"Q8ADM6","Protein Tat (Transactivating regulatory protein)","5"
"Q8UT40","Protein Tat (Transactivating regulatory protein)","5"
"O41786","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YWP0","Protein Tat (Transactivating regulatory protein)","5"
"C5HQK2","Protein Tat (Transactivating regulatory protein)","5"
"A0A059SQG6","Protein Tat (Transactivating regulatory protein)","5"
"A0MT65","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C1A823","Protein Tat (Transactivating regulatory protein)","5"
"A0A410SWF2","Protein Tat (Transactivating regulatory protein)","5"
"A0A410SZS9","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V3F7","Protein Tat (Transactivating regulatory protein)","5"
"Q2EQK0","Protein Tat (Transactivating regulatory protein)","5"
"Q4JGL8","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4FAT2","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C1A974","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DGV3","Protein Tat (Transactivating regulatory protein)","5"
"A0A159C8N7","Protein Tat (Transactivating regulatory protein)","5"
"D6NW90","Protein Tat (Transactivating regulatory protein)","5"
"Q6UFP0","Protein Tat (Transactivating regulatory protein)","5"
"I7FUF1","Protein Tat (Transactivating regulatory protein)","5"
"C5HSJ0","Protein Tat (Transactivating regulatory protein)","5"
"H6D3Z3","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S7RJ93","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DHC7","Protein Tat (Transactivating regulatory protein)","5"
"M4PFA9","Protein Tat (Transactivating regulatory protein)","5"
"Q6UF66","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YZS5","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DJT7","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DHC3","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1HB15","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QYI1","Protein Tat (Transactivating regulatory protein)","5"
"C5HNW7","Protein Tat (Transactivating regulatory protein)","5"
"M4TAR8","Protein Tat (Transactivating regulatory protein)","5"
"C5HR51","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6U645","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5KQY0","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C1A244","Protein Tat (Transactivating regulatory protein)","5"
"A0A650F933","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5N8I0","Protein Tat (Transactivating regulatory protein)","5"
"A0A6B7E7M1","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KVJ0","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V6V5","Protein Tat (Transactivating regulatory protein)","5"
"M4PJA9","Protein Tat (Transactivating regulatory protein)","5"
"D6NWL2","Protein Tat (Transactivating regulatory protein)","5"
"A0A286LGQ3","Protein Tat (Transactivating regulatory protein)","5"
"Q9YKN3","Protein Tat (Transactivating regulatory protein)","5"
"A0A0E3EAM4","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1HB44","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H2U4T9","Protein Tat (Transactivating regulatory protein)","5"
"A0A0R6L412","Protein Tat (Transactivating regulatory protein)","5"
"Q90CZ1","Protein Tat (Transactivating regulatory protein)","5"
"A0A514YM23","Protein Tat (Transactivating regulatory protein)","5"
"A0A6B7ECY1","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F491","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G2Y535","Protein Tat (Transactivating regulatory protein)","5"
"A0A3Q8HFZ0","Protein Tat (Transactivating regulatory protein)","5"
"K4MXE7","Protein Tat (Transactivating regulatory protein)","5"
"H6D2Q8","Protein Tat (Transactivating regulatory protein)","5"
"A0A286KB78","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D6INL5","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C1AGM8","Protein Tat (Transactivating regulatory protein)","5"
"F1B0J2","Protein Tat (Transactivating regulatory protein)","5"
"D6NX28","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T7WW15","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T7WW38","Protein Tat (Transactivating regulatory protein)","5"
"Q4JG33","Protein Tat (Transactivating regulatory protein)","5"
